FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"280,680.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,109600,109600,109600,109600,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1096,Position 1096,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"7,084.00",, N.A. ,1,29.44,29.44,12/29/2017,Bloomberg,,,,109700,109700,109700,109700,,,25.7, -   , -   ,,CITIGROUP,,,Position 1097,Position 1097,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-258.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,109800,109800,109800,109800,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1098,Position 1098,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,10.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,109900,109900,109900,109900,,,1, -   , -   ,,CITI,,,Position 1099,Position 1099,USD,Indeterminate,CITI Fixed Income Direct,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,DKK       ,0,, Accrued Interest Payable - Broker ,0.16,0.16,0.16,12/29/2017,Bloomberg,,,,110000,110000,110000,110000,,,0.16, -   , -   ,,CREDIT SUISSE,,,Position 1100,Position 1100,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-300.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,110100,110100,110100,110100,,,1, -   , -   ,,STATE STREET,,,Position 1101,Position 1101,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,498.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,110200,110200,110200,110200,,,1, -   , -   ,,BNY,,,Position 1102,Position 1102,USD,Indeterminate,BNY,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,256.00",, N.A. ,1,55.01,55.01,12/29/2017,Bloomberg,,,,110300,110300,110300,110300,,,55.04, -   , -   ,,CREDIT SUISSE,,,Position 1103,Position 1103,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,852.00",, N.A. ,1,192.43,192.43,12/29/2017,Bloomberg,,,,110400,110400,110400,110400,,,135.28, -   , -   ,,CREDIT SUISSE,,,Position 1104,Position 1104,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-72.00,, DividendWithholdingTaxPayable ,1,1,1,12/29/2017,Bloomberg,,,,110500,110500,110500,110500,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1105,Position 1105,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-3,188.00",, N.A. ,1,76.46,76.46,12/29/2017,Bloomberg,,,,110600,110600,110600,110600,,,69.35, -   , -   ,,CITIGROUP,,,Position 1106,Position 1106,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,-1,, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,110700,110700,110700,110700,,,1.19, -   , -   ,,CREDIT SUISSE,,,Position 1107,Position 1107,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,0,, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,110800,110800,110800,110800,,,1, -   , -   ,,JPM,,,Position 1108,Position 1108,USD,Indeterminate,JP Morgan Chase,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,GBP       ,0,, Cash ,1.35,1.35,1.35,12/29/2017,Bloomberg,,,,110900,110900,110900,110900,,,1.34, -   , -   ,,MORGAN STANLEY,,,Position 1109,Position 1109,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,149.00",, N.A. ,1,50.28,50.28,12/29/2017,Bloomberg,,,,111000,111000,111000,111000,,,30.76, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1110,Position 1110,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,"-12,959.00",, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,111100,111100,111100,111100,,,1.17, -   , -   ,,CITIGROUP,,,Position 1111,Position 1111,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,514.00",, N.A. ,1,0,0,12/29/2017,Bloomberg,,,,111200,111200,111200,111200,,,3.69, -   , -   ,,CITIGROUP,,,Position 1112,Position 1112,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,717.00,, N.A. ,1,176.46,176.46,12/29/2017,Bloomberg,,,,111300,111300,111300,111300,,,156.46, -   , -   ,,CREDIT SUISSE,,,Position 1113,Position 1113,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-538.00,, N.A. ,1,41.96,41.96,12/29/2017,Bloomberg,,,,111400,111400,111400,111400,,,43.94, -   , -   ,,MORGAN STANLEY,,,Position 1114,Position 1114,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"7,872.00",, N.A. ,1,53.84,53.84,12/29/2017,Bloomberg,,,,111500,111500,111500,111500,,,46.06, -   , -   ,,CREDIT SUISSE,,,Position 1115,Position 1115,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,GBP       ,"23,403.00",, Cash ,1.35,1.35,1.35,12/29/2017,Bloomberg,,,,111600,111600,111600,111600,,,0.66, -   , -   ,,BARCLAYS BANK,,,Position 1116,Position 1116,USD,Indeterminate,Barclays Bank,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-39.00,, N.A. ,1,50.28,50.28,12/29/2017,Bloomberg,,,,111700,111700,111700,111700,,,37.73, -   , -   ,,CITIGROUP,,,Position 1117,Position 1117,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,093.00",, N.A. ,1,97.9,97.9,12/29/2017,Bloomberg,,,,111800,111800,111800,111800,,,62.19, -   , -   ,,CITIGROUP,,,Position 1118,Position 1118,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,"-39,551.00",, SpotFxPayable ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,111900,111900,111900,111900,,,1.19, -   , -   ,,MORGAN STANLEY,,,Position 1119,Position 1119,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"3,866.00",, N.A. ,1,28.48,28.48,12/29/2017,Bloomberg,,,,112000,112000,112000,112000,,,24.5, -   , -   ,,CREDIT SUISSE,,,Position 1120,Position 1120,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-2,, N.A. ,1,"6,408.75","6,408.75",12/29/2017,Bloomberg,,,,112100,112100,112100,112100,,,"6,402.45", -   , -   ,,CITIGROUP,,,Position 1121,Position 1121,USD,Indeterminate,CitiGroup,,,,43109.30903,Derivative Contracts,Index Futures,Index Future,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,CAD       ,-45.00,, N.A. ,0.8,0.51,0.41,12/29/2017,Bloomberg,,,,112200,112200,112200,112200,,,277.08, -   , -   ,,CITIGROUP,,,Position 1122,Position 1122,USD,Indeterminate,CitiGroup,,,,43109.30903,Derivative Contracts,Equity Warrant,Equity Warrant,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-75,630.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,112300,112300,112300,112300,,,1, -   , -   ,,CITIGROUP,,,Position 1123,Position 1123,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-101.00,, N.A. ,1,208.26,208.26,12/29/2017,Bloomberg,,,,112400,112400,112400,112400,,,205.99, -   , -   ,,CITIGROUP,,,Position 1124,Position 1124,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,13.00,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,112500,112500,112500,112500,,,1, -   , -   ,,CITIGROUP,,,Position 1125,Position 1125,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"10,915.00",, N.A. ,1,43.13,43.13,12/29/2017,Bloomberg,,,,112600,112600,112600,112600,,,36.63, -   , -   ,,CITIGROUP,,,Position 1126,Position 1126,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-928.00,, N.A. ,1,109.55,109.55,12/29/2017,Bloomberg,,,,112700,112700,112700,112700,,,105.68, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1127,Position 1127,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,NOK       ,0,, Cash ,0.12,0.12,0.12,12/29/2017,Bloomberg,,,,112800,112800,112800,112800,,,0.12, -   , -   ,,MORGAN STANLEY,,,Position 1128,Position 1128,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,17.00,, N.A. ,1,1.27,1.27,12/29/2017,Bloomberg,,,,112900,112900,112900,112900,,,1.44, -   , -   ,,MORGAN STANLEY,,,Position 1129,Position 1129,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Derivative Contracts,Listed Equity Option,Listed Equity Option,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,196.00",, N.A. ,1,99.69,99.69,12/29/2017,Bloomberg,,,,113000,113000,113000,113000,,,141.96, -   , -   ,,CREDIT SUISSE,,,Position 1130,Position 1130,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,CAD       ,573.00,, Cash ,0.8,0.8,0.8,12/29/2017,Bloomberg,,,,113100,113100,113100,113100,,,0.8, -   , -   ,,MORGAN STANLEY,,,Position 1131,Position 1131,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,367.00,, N.A. ,1.2,33,39.61,12/29/2017,Bloomberg,,,,113200,113200,113200,113200,,,29.17, -   , -   ,,MORGAN STANLEY,,,Position 1132,Position 1132,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,513.00",, N.A. ,1,7.7,7.7,12/29/2017,Bloomberg,,,,113300,113300,113300,113300,,, -   , -   , -   ,,CITIGROUP,,,Position 1133,Position 1133,USD,Indeterminate,CitiGroup,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,"-9,116.00",, N.A. ,1.2,1,1.2,12/31/2017,Bloomberg,,,,113400,113400,113400,113400,,,1.18, -   , -   ,,MORGAN STANLEY,,,Position 1134,Position 1134,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,786.00",, N.A. ,1,192.43,192.43,12/29/2017,Bloomberg,,,,113500,113500,113500,113500,,,146.81, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1135,Position 1135,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"28,842.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,113600,113600,113600,113600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1136,Position 1136,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-458.00,, N.A. ,1,102.23,102.23,12/29/2017,Bloomberg,,,,113700,113700,113700,113700,,,86.59, -   , -   ,,STATE STREET,,,Position 1137,Position 1137,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,034.00",, N.A. ,1,108.25,108.25,12/29/2017,Bloomberg,,,,113800,113800,113800,113800,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1138,Position 1138,USD,Indeterminate,Morgan Stanley,,,,43109.34653,OTC Derivative Contracts,Total Return Swap,TR Swap - Equity Index,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,467.00",, N.A. ,1,31.44,31.44,12/29/2017,Bloomberg,,,,113900,113900,113900,113900,,,25.04, -   , -   ,,CITIGROUP,,,Position 1139,Position 1139,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"23,750.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,114000,114000,114000,114000,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1140,Position 1140,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 2,12/31/2017,USD       ,373.00,, N.A. ,1,1.38,1.38,12/29/2017,Bloomberg,,,,114100,114100,114100,114100,,,1.4, -   , -   ,,OTHER,,,Position 1141,Position 1141,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 2,12/31/2017,USD       ,"2,147.00",, N.A. ,1,0.51,0.51,12/29/2017,Bloomberg,,,,114200,114200,114200,114200,,,0.49, -   , -   ,,OTHER,,,Position 1142,Position 1142,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-495.00,, N.A. ,1,97.61,97.61,12/29/2017,Bloomberg,,,,114300,114300,114300,114300,,,99.29, -   , -   ,,MORGAN STANLEY,,,Position 1143,Position 1143,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-107.00,, N.A. ,1,21.8,21.8,12/29/2017,Bloomberg,,,,114400,114400,114400,114400,,,24.81, -   , -   ,,MORGAN STANLEY,,,Position 1144,Position 1144,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,882.00",, N.A. ,1,29.52,29.52,12/29/2017,Bloomberg,,,,114500,114500,114500,114500,,,12.6, -   , -   ,,CREDIT SUISSE,,,Position 1145,Position 1145,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,932.00",, N.A. ,1,35.35,35.35,12/29/2017,Bloomberg,,,,114600,114600,114600,114600,,,38.14, -   , -   ,,MORGAN STANLEY,,,Position 1146,Position 1146,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,283.00,, N.A. ,1,122.28,122.28,12/29/2017,Bloomberg,,,,114700,114700,114700,114700,,,58.29, -   , -   ,,STATE STREET,,,Position 1147,Position 1147,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"17,521.00",, N.A. ,1,30.49,30.49,12/29/2017,Bloomberg,,,,114800,114800,114800,114800,,,18.85, -   , -   ,,MORGAN STANLEY,,,Position 1148,Position 1148,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-677.00,, N.A. ,1,41.96,41.96,12/29/2017,Bloomberg,,,,114900,114900,114900,114900,,,41.96, -   , -   ,,CITIGROUP,,,Position 1149,Position 1149,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,DKK       ,-51.00,, Cash ,0.16,0.16,0.16,12/29/2017,Bloomberg,,,,115000,115000,115000,115000,,,0.14, -   , -   ,,CREDIT SUISSE,,,Position 1150,Position 1150,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,448.00",, N.A. ,1,67.98,67.98,12/29/2017,Bloomberg,,,,115100,115100,115100,115100,,,70.13, -   , -   ,,CITIGROUP,,,Position 1151,Position 1151,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-323.00,, N.A. ,1,135.73,135.73,12/29/2017,Bloomberg,,,,115200,115200,115200,115200,,,100.74, -   , -   ,,CREDIT SUISSE,,,Position 1152,Position 1152,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"6,209.00",, N.A. ,1,56.92,56.92,12/29/2017,Bloomberg,,,,115300,115300,115300,115300,,,57.86, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1153,Position 1153,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,244,259.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,115400,115400,115400,115400,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1154,Position 1154,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,585.00",, N.A. ,1,51.7,51.7,12/29/2017,Bloomberg,,,,115500,115500,115500,115500,,,51.39, -   , -   ,,CITIGROUP,,,Position 1155,Position 1155,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"18,065.00",, SpotFxReceivable ,1,1,1,12/29/2017,Bloomberg,,,,115600,115600,115600,115600,,,1, -   , -   ,,CITIGROUP,,,Position 1156,Position 1156,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-424.00,, N.A. ,1,82.5,82.5,12/29/2017,Bloomberg,,,,115700,115700,115700,115700,,,81.57, -   , -   ,,MORGAN STANLEY,,,Position 1157,Position 1157,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,434.00,, N.A. ,1,154.68,154.68,12/29/2017,Bloomberg,,,,115800,115800,115800,115800,,,133.61, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1158,Position 1158,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,231.00",, Interest Payable - Swaps ,1,1,1,12/29/2017,Bloomberg,,,,115900,115900,115900,115900,,,1, -   , -   ,,CITIGROUP,,,Position 1159,Position 1159,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
